ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Medal_Won
512,Shiny Kurisingal Abraham-Wilson,F,19.0,167.0,53.0,India,IND,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 800 metres,No Medal,0
512,Shiny Kurisingal Abraham-Wilson,F,19.0,167.0,53.0,India,IND,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,No Medal,0
512,Shiny Kurisingal Abraham-Wilson,F,23.0,167.0,53.0,India,IND,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 800 metres,No Medal,0
512,Shiny Kurisingal Abraham-Wilson,F,23.0,167.0,53.0,India,IND,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,No Medal,0
512,Shiny Kurisingal Abraham-Wilson,F,27.0,167.0,53.0,India,IND,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 800 metres,No Medal,0
512,Shiny Kurisingal Abraham-Wilson,F,31.0,167.0,53.0,India,IND,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,No Medal,0
663,Sharath Kamal Achanta,M,22.0,186.0,85.0,India,IND,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Singles,No Medal,0
663,Sharath Kamal Achanta,M,26.0,186.0,85.0,India,IND,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Men's Singles,No Medal,0
663,Sharath Kamal Achanta,M,34.0,186.0,85.0,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,No Medal,0
952,Badathala Adisekhar,M,28.0,172.0,53.0,India,IND,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Flyweight,No Medal,0
952,Badathala Adisekhar,M,32.0,172.0,53.0,India,IND,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Flyweight,No Medal,0
1105,Mirza Najib Aga,M,19.0,172.0,65.0,India,IND,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Half-Lightweight,No Medal,0
1149,Neha Aggarwal,F,18.0,170.0,67.0,India,IND,2008 Summer,2008,Summer,Beijing,Table Tennis,Table Tennis Women's Singles,No Medal,0
1331,Jahan Ahir,M,25.0,172.0,65.0,India,IND,1948 Summer,1948,Summer,London,Water Polo,Water Polo Men's Water Polo,No Medal,0
1366,Jitendarjit Singh Ahluwalia,M,25.0,179.0,69.0,India,IND,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No Medal,0
1366,Jitendarjit Singh Ahluwalia,M,25.0,179.0,69.0,India,IND,1980 Summer,1980,Summer,Moskva,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No Medal,0
1399,A. Hussain Ahmed,M,25.0,172.0,65.0,India,IND,1956 Summer,1956,Summer,Melbourne,Football,Football Men's Football,No Medal,0
1415,Shakeel Ahmed,M,21.0,172.0,65.0,India,IND,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,No Medal,0
1710,Balkrishan Akotkar,M,27.0,171.0,57.0,India,IND,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Marathon,No Medal,0
2453,Anil Alexander Aldrin,M,24.0,172.0,65.0,India,IND,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,No Medal,0
2702,Syed Ali,M,19.0,169.0,60.0,India,IND,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,No Medal,0
2703,Syed Mushtaq Ali,M,22.0,165.0,61.0,India,IND,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Gold,1
2706,Sayed Zeeshan Ali,M,18.0,180.0,64.0,India,IND,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Singles,No Medal,0
3053,Bobby Aloysius,F,30.0,173.0,55.0,India,IND,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's High Jump,No Medal,0
3436,Jehangoo Amin,M,25.0,172.0,65.0,India,IND,1948 Summer,1948,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No Medal,0
3538,Anand Amritraj,M,36.0,185.0,77.0,India,IND,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Doubles,No Medal,0
3539,Vijay Amritraj,M,34.0,193.0,75.0,India,IND,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Singles,No Medal,0
3539,Vijay Amritraj,M,34.0,193.0,75.0,India,IND,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Doubles,No Medal,0
4000,"Ganpatrao Krishnaji ""Ganpat"" Andhalkar-Patil",M,29.0,183.0,97.0,India,IND,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",No Medal,0
4000,"Ganpatrao Krishnaji ""Ganpat"" Andhalkar-Patil",M,29.0,183.0,97.0,India,IND,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Heavyweight, Freestyle",No Medal,0
4251,Imtiaz Anees,M,29.0,158.0,60.0,India,IND,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No Medal,0
4395,Subbaiah Anjaparavanda Bopaiah,M,25.0,169.0,60.0,India,IND,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,No Medal,0
4504,Berland Anthony,M,25.0,172.0,65.0,India,IND,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,No Medal,0
4510,Joseph Anthony,M,25.0,172.0,65.0,India,IND,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,No Medal,0
4518,"Joseph Anthony ""Joe"" Antic",M,29.0,168.0,59.0,India,IND,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Silver,1
4523,Seema Antil,F,21.0,182.0,92.0,India,IND,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Discus Throw,No Medal,0
