Name,Sport,Total_Medals,Olympic_Years
Leslie Walter Claudius,Hockey,4,"1948, 1952, 1956, 1960"
Udham Singh Kular,Hockey,4,"1952, 1956, 1960, 1964"
"Victor John ""V. J."" Peter",Hockey,3,"1960, 1964, 1968"
Ranganathan Francis,Hockey,3,"1948, 1952, 1956"
Randhir Singh Gentle,Hockey,3,"1948, 1952, 1956"
"Balbir Singh Dosanjh, Sr.",Hockey,3,"1948, 1952, 1956"
Balbir Singh,Hockey,3,1968
Harbinder Singh Chimni,Hockey,3,"1964, 1968, 1972"
Prithipal Singh,Hockey,3,"1960, 1964, 1968"
Shankar Pillay Laxman,Hockey,3,"1956, 1960, 1964"
Gurbux Singh,Hockey,2,"1964, 1968"
"Grahanandan Nandy ""G. Nandy"" Singh",Hockey,2,"1948, 1952"
Harmik Singh,Hockey,2,"1968, 1972"
Raghbir Singh Bhola,Hockey,2,"1956, 1960"
Jagjit Singh Kular,Hockey,2,"1964, 1968"
Govind Perumal,Hockey,2,"1952, 1956"
Raghbir Lal Sharma,Hockey,2,"1952, 1956"
"Joginder ""Gindi"" Singh",Hockey,2,"1960, 1964"
Mohinder Lal,Hockey,2,"1960, 1964"
Keshav Chandra Dutt,Hockey,2,"1948, 1952"
Ajitpal Singh Kular,Hockey,2,"1968, 1972"
Amir Chand Kumar,Hockey,2,"1948, 1956"
Kunwar Digvijay Singh,Hockey,2,"1948, 1952"
Sushil Kumar Solanki,Wrestling,2,"2008, 2012"
Krishnamurty Perumal,Hockey,2,"1968, 1972"
Hari Pal Kaushik,Hockey,2,"1956, 1964"
Charanjit Singh,Hockey,2,"1960, 1964"
Munir Sait,Hockey,1,1968
Mukhbain Singh,Hockey,1,1972
Merwyn Fernandis,Hockey,1,1980
Michael Kindo,Hockey,1,1972
Meldric St. Clair daLuz Vieira,Hockey,1,1952
"Patrick Anthony ""Pat"" Jansen",Hockey,1,1948
Muhammad Shahid,Hockey,1,1980
"Max ""Maxie"" Vaz",Hockey,1,1948
Manuel Frederick,Hockey,1,1972
Mangte Chungneijang Mary Kom,Boxing,1,2012
Muniswamy Rajagopal,Hockey,1,1952
Abhinav Bindra,Shooting,1,2008
"Pusarla Venkata ""P. V."" Sindhu",Badminton,1,2016
Rajendra Absolem Christy,Hockey,1,1968
Yogeshwar Dutt,Wrestling,1,2012
Walter Louis Joseph de Sousa,Hockey,1,1948
Vijender Kumar Singh,Boxing,1,2008
Vijay Kumar,Shooting,1,2012
Vasudevan Bhaskaran,Hockey,1,1980
Varinder Singh,Hockey,1,1972
Tarsem Singh Kular,Hockey,1,1968
Tarlochan Singh Bawa,Hockey,1,1948
Syed Mushtaq Ali,Hockey,1,1964
Surinder Singh Sodhi Shokar,Hockey,1,1980
Somaya Muttana Maneypandey,Hockey,1,1980
Sakshi Malik,Wrestling,1,2016
Saina Nehwal,Badminton,1,2012
Reginald Neville Rodrigues,Hockey,1,1948
Ravinder Pal Singh,Hockey,1,1980
Rajyavardhan Singh Rathore,Shooting,1,2004
Maharaj Krishon Kaushik,Hockey,1,1980
Rajinder Singh,Hockey,1,1980
Kishan Lal,Hockey,1,1948
Leo Hillary Knowles Pinto,Hockey,1,1948
Gagan Narang,Shooting,1,2012
Dharam Singh Gill,Hockey,1,1952
Dharam Singh,Hockey,1,1964
Devinder Singh,Hockey,1,1980
Darshan Singh Kular,Hockey,1,1964
Chinadorai Deshmutu,Hockey,1,1952
Charles Stephen,Hockey,1,1956
Charles Cornelius,Hockey,1,1972
Charanjit Kumar,Hockey,1,1980
Bir Bahadur Chettri,Hockey,1,1980
Bandu Patil,Hockey,1,1964
Balkrishan Singh Grewal,Hockey,1,1956
Bakshish Sandhu Singh,Hockey,1,1956
Ashok Kumar,Hockey,1,1972
Amit Singh Bakshi,Hockey,1,1956
Amarjit Singh Rana,Hockey,1,1980
Allan Schofield,Hockey,1,1980
Akhtar Hussain,Hockey,1,1948
Dung Dung Sylvanus,Hockey,1,1980
Ganesh Mollerapoovayya,Hockey,1,1972
Leander Adrian Paes,Tennis,1,1996
"Gerald Rudolph ""Gerry"" Glackan",Hockey,1,1948
"Lawrence ""Lawrie"" Fernandes",Hockey,1,1948
Latif-ur Rehman,Hockey,1,1948
Kulwant Singh,Hockey,1,1972
Khashaba Dadasaheb  Jahdav,Wrestling,1,1952
Karnam Malleswari,Weightlifting,1,2000
"Joseph Anthony ""Joe"" Antic",Hockey,1,1960
Jaswant Singh Rajput,Hockey,1,1948
Jaswant Singh,Hockey,1,1960
Jaman Lal Sharma,Hockey,1,1960
"Inder ""Gogi"" Singh",Hockey,1,1968
Inam-ur Rahman,Hockey,1,1968
Hardyal Singh Garchey,Hockey,1,1956
Harcharan Singh,Hockey,1,1972
Gurmail Singh,Hockey,1,1980
Gurdev Singh Kular,Hockey,1,1956
Govinda Billimogaputtaswamy,Hockey,1,1972
Govind Rao Sawant,Hockey,1,1960
Zafar Iqbal,Hockey,1,1980
