Year,Total_Athletes,Unique_Sports,Unique_Events,Female_Athletes,Total_Medals,Male_Athletes,Gender_Ratio,Years_Since_1948,Olympic_Count,Prev_Olympics_Medals,Prev_2_Olympics_Medals
1948,79,10,39,0,1,79,0.0,0,1,0.0,0.0
1952,64,11,42,7,2,57,0.109375,4,2,1.0,0.0
1956,59,8,32,1,1,58,0.01694915254237288,8,3,2.0,1.0
1960,45,6,20,0,1,45,0.0,12,4,1.0,2.0
1964,52,8,42,1,1,51,0.019230769230769232,16,5,1.0,1.0
1968,23,5,11,0,1,23,0.0,20,6,1.0,1.0
1972,41,7,27,1,1,40,0.024390243902439025,24,7,1.0,1.0
1976,26,5,10,0,0,26,0.0,28,8,1.0,1.0
1980,71,8,30,17,1,54,0.23943661971830985,32,9,0.0,1.0
1984,47,7,30,10,0,37,0.2127659574468085,36,10,1.0,0.0
1988,46,11,27,10,0,36,0.21739130434782608,40,11,0.0,1.0
1992,52,12,36,7,0,45,0.1346153846153846,44,12,0.0,0.0
1996,49,13,31,9,1,40,0.1836734693877551,48,13,0.0,0.0
2000,65,13,38,23,1,42,0.35384615384615387,52,14,1.0,0.0
2004,73,14,43,30,1,43,0.410958904109589,56,15,1.0,1.0
2008,53,12,48,29,3,24,0.5471698113207547,60,16,1.0,1.0
2012,79,13,54,29,6,50,0.3670886075949367,64,17,3.0,1.0
2016,112,15,67,62,2,50,0.5535714285714286,68,18,6.0,3.0
